# the deviation between $E_\mathrm{geo}$ and $E\'_\mathrm{geo}$ for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
2.303030303030303116e+02 2.140027471032492912e+00
2.363636363636363740e+02 2.133222427384735109e+00
2.424242424242424363e+02 2.128823066662942409e+00
2.484848484848484986e+02 2.125646980830404598e+00
2.545454545454545610e+02 2.122018547120451792e+00
2.606060606060606233e+02 2.116594796038842929e+00
2.666666666666666856e+02 2.108144115913929362e+00
2.727272727272727479e+02 2.095611565022441614e+00
2.787878787878788103e+02 2.078119223020941320e+00
2.848484848484848726e+02 2.054979331048517377e+00
2.909090909090908781e+02 2.025755672586058154e+00
2.969696969696969404e+02 1.990116884367992167e+00
3.030303030303030027e+02 1.947313533051552081e+00
3.090909090909090651e+02 1.897120161668677252e+00
3.151515151515151274e+02 1.839752986622689601e+00
3.212121212121212466e+02 1.775875901056066519e+00
3.272727272727272521e+02 1.706630599881554744e+00
3.333333333333333712e+02 1.633319651009603746e+00
3.393939393939393767e+02 1.558310769860637990e+00
3.454545454545454959e+02 1.488059226901844889e+00
3.515151515151515014e+02 1.425595866414442137e+00
3.575757575757576205e+02 1.374035634455231580e+00
3.636363636363636260e+02 1.329796944155475336e+00
3.696969696969697452e+02 1.297944659656382171e+00
3.757575757575757507e+02 1.276379886481903370e+00
3.818181818181817562e+02 1.257168516926963964e+00
3.878787878787878753e+02 1.243809548305140567e+00
3.939393939393938808e+02 1.234315807057238423e+00
4.000000000000000000e+02 1.228774290873233754e+00
4.050000000000000000e+02 1.226912950014980463e+00
4.055555555555555429e+02 1.226331900908077088e+00
4.061111111111110858e+02 1.226257084529121633e+00
4.066666666666666856e+02 1.225974866874644409e+00
4.072222222222222285e+02 1.226586596401336937e+00
4.077777777777777715e+02 1.223977047419379627e+00
4.083333333333333144e+02 1.220047563302068205e+00
4.088888888888889142e+02 1.216723108410478815e+00
4.094444444444444571e+02 1.213464640196469047e+00
4.100000000000000000e+02 1.210396588892491687e+00
4.105555555555555429e+02 1.207468110425194752e+00
4.111111111111110858e+02 1.204677653967194173e+00
4.116666666666666856e+02 1.202012035921689037e+00
4.122222222222222285e+02 1.199462903087758825e+00
4.127777777777777715e+02 1.197021838425019968e+00
4.133333333333333144e+02 1.194681655248773344e+00
4.138888888888889142e+02 1.192435661841078742e+00
4.144444444444444571e+02 1.190277944078456773e+00
4.150000000000000000e+02 1.188203227674053952e+00
4.155555555555555429e+02 1.186206543211927977e+00
4.161111111111110858e+02 1.184283391958883103e+00
4.166666666666666856e+02 1.182429712969251812e+00
4.172222222222222285e+02 1.180641792386709854e+00
4.177777777777777715e+02 1.178916007743608940e+00
4.183333333333333144e+02 1.177249597406533566e+00
4.188888888888889142e+02 1.175638919711416319e+00
4.194444444444444571e+02 1.174082165552573498e+00
4.200000000000000000e+02 1.172575922983793983e+00
4.205555555555555429e+02 1.171118425640081062e+00
4.211111111111110858e+02 1.169707130146467877e+00
4.216666666666666856e+02 1.168340179806891088e+00
4.222222222222222285e+02 1.167015552720871874e+00
4.227777777777777715e+02 1.165731468541225224e+00
4.233333333333333144e+02 1.164486279250038114e+00
4.238888888888889142e+02 1.163278228232588862e+00
4.244444444444444571e+02 1.162106293098450038e+00
4.250000000000000000e+02 1.160968184192818109e+00
4.255555555555555429e+02 1.159863331604142234e+00
4.261111111111110858e+02 1.158790367122296994e+00
4.266666666666666856e+02 1.157747774531551421e+00
4.272222222222222285e+02 1.156734688740584049e+00
4.277777777777777715e+02 1.155749895152950346e+00
4.283333333333333144e+02 1.154792446011518425e+00
4.288888888888889142e+02 1.153861285184755392e+00
4.294444444444444571e+02 1.152955671408529836e+00
4.300000000000000000e+02 1.152074167684883577e+00
4.305555555555555429e+02 1.151217130685623591e+00
4.311111111111110858e+02 1.150381935378953724e+00
4.316666666666666856e+02 1.149569977581994307e+00
4.322222222222222285e+02 1.148778741658692315e+00
4.327777777777777715e+02 1.148008364146510418e+00
4.333333333333333144e+02 1.147257883086051367e+00
4.338888888888889142e+02 1.146526959620756347e+00
4.344444444444444571e+02 1.145813713657886757e+00
4.350000000000000000e+02 1.145115585091619703e+00
4.355555555555555429e+02 1.144430005957252972e+00
4.361111111111110858e+02 1.143754949025349132e+00
4.366666666666666856e+02 1.143088328504104689e+00
4.372222222222222285e+02 1.142428333662666828e+00
4.377777777777777715e+02 1.141773284663135213e+00
4.383333333333333144e+02 1.141121590386792395e+00
4.388888888888889142e+02 1.140471869699136276e+00
4.394444444444444571e+02 1.139822819722146052e+00
4.400000000000000000e+02 1.139173139696627368e+00
4.405555555555555429e+02 1.138521767728961187e+00
4.411111111111110858e+02 1.137868313079556160e+00
4.416666666666666856e+02 1.137210744877438673e+00
4.422222222222222285e+02 1.136548638673029243e+00
4.427777777777777715e+02 1.135881254863678524e+00
4.433333333333333144e+02 1.135207667020406541e+00
4.438888888888889142e+02 1.134527362928387850e+00
4.444444444444444571e+02 1.133839723483014428e+00
4.450000000000000000e+02 1.133144317000227108e+00
4.455555555555555429e+02 1.132440472385872532e+00
4.461111111111110858e+02 1.131728535772515087e+00
4.466666666666666856e+02 1.131007423581448013e+00
4.472222222222222285e+02 1.130277351179071577e+00
4.477777777777777715e+02 1.129537994858723637e+00
4.483333333333333144e+02 1.128789312917695575e+00
4.488888888888889142e+02 1.128031165723320184e+00
4.494444444444444571e+02 1.127263644020821909e+00
4.500000000000000000e+02 1.126486367636555297e+00
4.505555555555555429e+02 1.125700180973899567e+00
4.511111111111110858e+02 1.124904356736490918e+00
4.516666666666666856e+02 1.124099438280948826e+00
4.522222222222222285e+02 1.123285430914692906e+00
4.527777777777777715e+02 1.122462498156559629e+00
4.533333333333333144e+02 1.121630959768522784e+00
4.538888888888889142e+02 1.120790707750917381e+00
4.544444444444444571e+02 1.119942839963685932e+00
4.550000000000000000e+02 1.119084651930022600e+00
4.555555555555555429e+02 1.118224198800293667e+00
4.561111111111110858e+02 1.117343413843424615e+00
4.566666666666666856e+02 1.116499334889991646e+00
4.572222222222222285e+02 1.115487185401345505e+00
4.577777777777777715e+02 1.115071256505753672e+00
4.583333333333333144e+02 1.114546954710076809e+00
4.588888888888889142e+02 1.114035058512373721e+00
4.594444444444444571e+02 1.113503813169157697e+00
4.600000000000000000e+02 1.109881947261563306e+00
4.700000000000000000e+02 1.092586360114133903e+00
5.056565656565656468e+02 1.026579689075692858e+00
5.413131313131312936e+02 9.999979956201239251e-01
5.769696969696969973e+02 1.023728647072359887e+00
6.126262626262625872e+02 1.035015260971014150e+00
6.482828282828282909e+02 1.039336046762121324e+00
6.839393939393939945e+02 1.037890670215285693e+00
7.195959595959595845e+02 1.035082707787512213e+00
7.552525252525251744e+02 1.032067013187499604e+00
7.909090909090908781e+02 1.030377447896628773e+00
8.265656565656565817e+02 1.029450449358036757e+00
8.622222222222221717e+02 1.028838454863098439e+00
8.978787878787878753e+02 1.028151174696342984e+00
9.335353535353535790e+02 1.027108783108277912e+00
9.691919191919191690e+02 1.025740218880338395e+00
1.004848484848484759e+03 1.024159992233088179e+00
1.040505050505050349e+03 1.022510660199710930e+00
1.076161616161616166e+03 1.020915884207913571e+00
1.111818181818181756e+03 1.019436476557251670e+00
1.147474747474747346e+03 1.018072943179158640e+00
1.183131313131313163e+03 1.016833825493992371e+00
1.218787878787878753e+03 1.015723535625700835e+00
1.254444444444444343e+03 1.014739379458876156e+00
1.290101010101010161e+03 1.013865826298241180e+00
1.325757575757575751e+03 1.013090161874080408e+00
1.361414141414141341e+03 1.012402094509894601e+00
1.397070707070707158e+03 1.011789843475459749e+00
1.432727272727272521e+03 1.011244917063526261e+00
1.468383838383838338e+03 1.010758836172318986e+00
1.504040404040403928e+03 1.010324378738056028e+00
1.539696969696969518e+03 1.009935135976007148e+00
1.575353535353535335e+03 1.009585397803237417e+00
1.611010101010100925e+03 1.009270217385892510e+00
1.646666666666666515e+03 1.008985339321857522e+00
1.682323232323232332e+03 1.008726641499428700e+00
1.717979797979797922e+03 1.008491094975431768e+00
1.753636363636363512e+03 1.008275365219863273e+00
1.789292929292929102e+03 1.008077079708738832e+00
1.824949494949494920e+03 1.007893788225366682e+00
1.860606060606060510e+03 1.007723462839601458e+00
1.896262626262626100e+03 1.007564279907353644e+00
1.931919191919191917e+03 1.007414583818822207e+00
1.967575757575757507e+03 1.007272943381990693e+00
2.003232323232323097e+03 1.007138088776448059e+00
2.038888888888888687e+03 1.007008921819728897e+00
2.074545454545454504e+03 1.006884326311962674e+00
2.110202020202020321e+03 1.006763495202551262e+00
2.145858585858585684e+03 1.006645581498969211e+00
2.181515151515151501e+03 1.006529905953082560e+00
2.217171717171717319e+03 1.006415792964804545e+00
2.252828282828282681e+03 1.006302748145494474e+00
2.288484848484848044e+03 1.006190246390660681e+00
2.324141414141414316e+03 1.006077887697818474e+00
2.359797979797979679e+03 1.005965298745898462e+00
2.395454545454545041e+03 1.005852159268601609e+00
2.431111111111110858e+03 1.005738229436809128e+00
2.466767676767676676e+03 1.005623216210959292e+00
2.502424242424242038e+03 1.005507231558429693e+00
2.538080808080807856e+03 1.005389477647589347e+00
2.573737373737373673e+03 1.005270527278175896e+00
2.609393939393939036e+03 1.005149982808210218e+00
2.645050505050504853e+03 1.005027843833543155e+00
2.680707070707070670e+03 1.004904105731308173e+00
