# the deviation between $E_\mathrm{ce}$ and $E\'_\mathrm{ce}$ for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
2.666666666666666856e+02 1.067532218264992894e+00
2.727272727272727479e+02 1.066412766756939634e+00
2.787878787878788103e+02 1.065289944261115673e+00
2.848484848484848726e+02 1.064163459383302257e+00
2.909090909090908781e+02 1.063033033032524610e+00
2.969696969696969404e+02 1.061898400289486233e+00
3.030303030303030027e+02 1.060759307140505481e+00
3.090909090909090651e+02 1.059615509194103522e+00
3.151515151515151274e+02 1.058466770441205407e+00
3.212121212121212466e+02 1.057312862264500719e+00
3.272727272727272521e+02 1.056153563420790809e+00
3.333333333333333712e+02 1.054988657544549291e+00
3.393939393939393767e+02 1.053817940947434861e+00
3.454545454545454959e+02 1.052641187559397284e+00
3.515151515151515014e+02 1.051458151232074645e+00
3.575757575757576205e+02 1.050268606593237841e+00
3.636363636363636260e+02 1.049072339627592498e+00
3.696969696969697452e+02 1.047869149754594442e+00
3.757575757575757507e+02 1.046658848983747392e+00
3.818181818181817562e+02 1.045441261979062286e+00
3.878787878787878753e+02 1.044216225969753831e+00
3.939393939393938808e+02 1.042983590795812265e+00
4.000000000000000000e+02 1.041815573915304771e+00
4.050000000000000000e+02 1.041018531011987047e+00
4.055555555555555429e+02 1.040597991766996966e+00
4.061111111111110858e+02 1.040483232330690955e+00
4.066666666666666856e+02 1.040368405896171522e+00
4.072222222222222285e+02 1.040253512383121803e+00
4.077777777777777715e+02 1.040138551711588200e+00
4.083333333333333144e+02 1.040023523802678040e+00
4.088888888888889142e+02 1.039908428578375510e+00
4.094444444444444571e+02 1.039793265961588276e+00
4.100000000000000000e+02 1.039678035876134166e+00
4.105555555555555429e+02 1.039562738246755602e+00
4.111111111111110858e+02 1.039447372999104724e+00
4.116666666666666856e+02 1.039331940059753157e+00
4.122222222222222285e+02 1.039216439356192456e+00
4.127777777777777715e+02 1.039100870816832334e+00
4.133333333333333144e+02 1.038985234371000876e+00
4.138888888888889142e+02 1.038869529948947656e+00
4.144444444444444571e+02 1.038753757481842399e+00
4.150000000000000000e+02 1.038637916901776093e+00
4.155555555555555429e+02 1.038522008141770314e+00
4.161111111111110858e+02 1.038406031135737928e+00
4.166666666666666856e+02 1.038289985818613648e+00
4.172222222222222285e+02 1.038173872125926600e+00
4.177777777777777715e+02 1.038057689995321775e+00
4.183333333333333144e+02 1.037941439360952067e+00
4.188888888888889142e+02 1.037825120174374893e+00
4.194444444444444571e+02 1.037708732326580563e+00
4.200000000000000000e+02 1.037592275938971964e+00
4.205555555555555429e+02 1.037475750277446984e+00
4.211111111111110858e+02 1.037359157805068710e+00
4.216666666666666856e+02 1.037242489057325301e+00
4.222222222222222285e+02 1.037125779088414967e+00
4.227777777777777715e+02 1.037008896810843739e+00
4.233333333333333144e+02 1.036892331190767846e+00
4.238888888888889142e+02 1.036774257127013543e+00
4.244444444444444571e+02 1.036661485739675648e+00
4.250000000000000000e+02 1.036528597336694224e+00
4.255555555555555429e+02 1.036470459258959309e+00
4.261111111111110858e+02 1.036133021533321097e+00
4.266666666666666856e+02 1.036837616415436703e+00
4.272222222222222285e+02 1.033652964565394461e+00
4.277777777777777715e+02 1.044982850802349095e+00
4.283333333333333144e+02 1.002143414910385610e+00
4.288888888888889142e+02 1.013651757504026696e+00
4.294444444444444571e+02 1.010597305389426159e+00
4.300000000000000000e+02 1.011444952097673822e+00
4.305555555555555429e+02 1.011246955103464185e+00
4.311111111111110858e+02 1.011329025449807961e+00
4.316666666666666856e+02 1.011335957419574605e+00
4.322222222222222285e+02 1.011362924444055622e+00
4.327777777777777715e+02 1.011384403357352468e+00
4.333333333333333144e+02 1.011407327147707980e+00
4.338888888888889142e+02 1.011429656430190782e+00
4.344444444444444571e+02 1.011452077155854168e+00
4.350000000000000000e+02 1.011474412251891719e+00
4.355555555555555429e+02 1.011496597552341559e+00
4.361111111111110858e+02 1.011518746660618584e+00
4.366666666666666856e+02 1.011540793076326050e+00
4.372222222222222285e+02 1.011562763510527319e+00
4.377777777777777715e+02 1.011584643310363907e+00
4.383333333333333144e+02 1.011606431228813108e+00
4.388888888888889142e+02 1.011628134282228419e+00
4.394444444444444571e+02 1.011649746640792547e+00
4.400000000000000000e+02 1.011671268768148391e+00
4.405555555555555429e+02 1.011692700143571377e+00
4.411111111111110858e+02 1.011714029165535322e+00
4.416666666666666856e+02 1.011735285922064742e+00
4.422222222222222285e+02 1.011756435259233866e+00
4.427777777777777715e+02 1.011777491434001641e+00
4.433333333333333144e+02 1.011798460108600528e+00
4.438888888888889142e+02 1.011819316813413083e+00
4.444444444444444571e+02 1.011840087778510089e+00
4.450000000000000000e+02 1.011860760952312033e+00
4.455555555555555429e+02 1.011881333784811376e+00
4.461111111111110858e+02 1.011901807364733896e+00
4.466666666666666856e+02 1.011922181567035173e+00
4.472222222222222285e+02 1.011942456497112452e+00
4.477777777777777715e+02 1.011962626318954506e+00
4.483333333333333144e+02 1.011982700077589614e+00
4.488888888888889142e+02 1.012002659688962636e+00
4.494444444444444571e+02 1.012022550565922163e+00
4.500000000000000000e+02 1.012042285194005187e+00
4.505555555555555429e+02 1.012061946356482611e+00
4.511111111111110858e+02 1.012081492628700730e+00
4.516666666666666856e+02 1.012100931261510128e+00
4.522222222222222285e+02 1.012120280803185501e+00
4.527777777777777715e+02 1.012139492339156011e+00
4.533333333333333144e+02 1.012158615882354784e+00
4.538888888888889142e+02 1.012177621738406197e+00
4.544444444444444571e+02 1.012196524528268693e+00
4.550000000000000000e+02 1.012215305818793043e+00
4.555555555555555429e+02 1.012233986948833930e+00
4.561111111111110858e+02 1.012252547681166570e+00
4.566666666666666856e+02 1.012271039154879704e+00
4.572222222222222285e+02 1.012289186777793670e+00
4.577777777777777715e+02 1.012308133542890065e+00
4.583333333333333144e+02 1.012323553557636924e+00
4.588888888888889142e+02 1.012351562810126726e+00
4.594444444444444571e+02 1.012359550462786695e+00
4.600000000000000000e+02 1.012491573077883622e+00
4.700000000000000000e+02 1.012922152627077743e+00
5.056565656565656468e+02 1.013547610207247152e+00
5.413131313131312936e+02 1.014017184836292884e+00
5.769696969696969973e+02 1.014299017586155038e+00
6.126262626262625872e+02 1.014463654338408904e+00
6.482828282828282909e+02 1.014581614031583978e+00
6.839393939393939945e+02 1.014699287105633285e+00
7.195959595959595845e+02 1.014854563966209211e+00
7.552525252525251744e+02 1.015037435764100326e+00
7.909090909090908781e+02 1.015224165154045899e+00
8.265656565656565817e+02 1.015392985555505945e+00
8.622222222222221717e+02 1.015519903969348992e+00
8.978787878787878753e+02 1.015579915009499956e+00
9.335353535353535790e+02 1.015546771011913041e+00
9.691919191919191690e+02 1.015393716186902884e+00
1.004848484848484759e+03 1.015093403100238323e+00
1.040505050505050349e+03 1.014618795775604987e+00
1.076161616161616166e+03 1.013943419209795360e+00
1.111818181818181756e+03 1.013041812423811416e+00
1.147474747474747346e+03 1.011889934918937417e+00
1.183131313131313163e+03 1.010465457439472692e+00
1.218787878787878753e+03 1.008748001021767760e+00
1.254444444444444343e+03 1.006719303011794242e+00
1.290101010101010161e+03 1.004363259561519284e+00
1.325757575757575751e+03 1.001666037654477925e+00
1.361414141414141341e+03 9.986159075769317495e-01
1.397070707070707158e+03 9.952033167526462831e-01
1.432727272727272521e+03 9.914206003033593229e-01
1.468383838383838338e+03 9.872622488011923991e-01
1.504040404040403928e+03 9.827240859049137800e-01
1.539696969696969518e+03 9.778042458216940069e-01
1.575353535353535335e+03 9.725002742621758900e-01
1.611010101010100925e+03 9.668206157779543064e-01
1.646666666666666515e+03 9.607507376167757629e-01
1.682323232323232332e+03 9.543107315133410040e-01
1.717979797979797922e+03 9.474969192689002284e-01
1.753636363636363512e+03 9.403172713282630379e-01
1.789292929292929102e+03 9.327782121184822195e-01
1.824949494949494920e+03 9.248878815184429225e-01
1.860606060606060510e+03 9.166558504201831603e-01
1.896262626262626100e+03 9.080922006564033921e-01
1.931919191919191917e+03 8.992089233302934526e-01
1.967575757575757507e+03 8.900175703253661030e-01
2.003232323232323097e+03 8.805340300502042528e-01
2.038888888888888687e+03 8.707707794210401975e-01
2.074545454545454504e+03 8.607444994243422798e-01
2.110202020202020321e+03 8.504714516209196384e-01
2.145858585858585684e+03 8.399687389704489915e-01
2.181515151515151501e+03 8.292542218020004796e-01
2.217171717171717319e+03 8.183461751188234601e-01
2.252828282828282681e+03 8.072632962595837069e-01
2.288484848484848044e+03 7.960245257760479864e-01
2.324141414141414316e+03 7.846489383128777417e-01
2.359797979797979679e+03 7.731556209441450278e-01
2.395454545454545041e+03 7.615635415902610728e-01
2.431111111111110858e+03 7.498914548360794408e-01
2.466767676767676676e+03 7.381577644732647547e-01
2.502424242424242038e+03 7.263804871738436253e-01
2.538080808080807856e+03 7.145770881574894373e-01
2.573737373737373673e+03 7.027644507038957045e-01
2.609393939393939036e+03 6.909588868608776968e-01
2.645050505050504853e+03 6.791757997662820623e-01
2.680707070707070670e+03 6.674301038111013495e-01
2.716363636363636033e+03 6.557357742221432417e-01
2.752020202020201850e+03 6.441059514231026739e-01
2.787676767676767668e+03 6.325530864386182950e-01
2.823333333333333030e+03 6.210886728584751326e-01
2.858989898989898848e+03 6.097234347086797346e-01
2.894646464646464665e+03 5.984673107654869817e-01
2.930303030303030027e+03 5.873292876167293119e-01
2.965959595959595845e+03 5.763177060030273413e-01
3.001616161616161207e+03 5.654401060566872639e-01
3.037272727272727025e+03 5.547031565081379512e-01
3.072929292929292842e+03 5.441129650935140338e-01
3.108585858585858205e+03 5.336748009984143559e-01
3.144242424242424022e+03 5.233933884872259412e-01
3.179898989898989839e+03 5.132727864280643981e-01
3.215555555555555202e+03 5.033164055706493833e-01
3.251212121212121019e+03 4.935271549785349987e-01
3.286868686868686837e+03 4.839073834860687651e-01
3.322525252525252199e+03 4.744589506354994768e-01
3.358181818181818016e+03 4.651832536113148509e-01
3.393838383838383834e+03 4.560812623197872395e-01
3.429494949494949196e+03 4.471535049989728838e-01
3.465151515151515014e+03 4.384002924671256962e-01
3.500808080808080376e+03 4.298210739328161001e-01
3.536464646464646194e+03 4.214161729067970596e-01
3.572121212121212011e+03 4.131841286014511505e-01
3.607777777777777374e+03 4.051239989604815683e-01
3.643434343434343191e+03 3.972350759512780494e-01
3.679090909090909008e+03 3.895153309085150894e-01
3.714747474747474371e+03 3.819633537219177533e-01
3.750404040404040188e+03 3.745772785651653169e-01
3.786060606060606005e+03 3.673551337596189237e-01
3.821717171717171368e+03 3.602948130630039825e-01
3.857373737373737185e+03 3.533941005185900486e-01
3.893030303030303003e+03 3.466506233635787138e-01
3.928686868686868365e+03 3.378658042906023673e-01
4.000000000000000000e+03 3.315056765619802670e-01
4.000000000000000000e+03 3.273637272552369359e-01
