# $\sigma_\mathrm{geo}$ as a function of \dxmax for an observation altitude of \SI{0}{m asl}
# knots	coefficients
8.875206958393678747e+01 2.811182987047870085e+01
8.875206958393678747e+01 4.766117213437262023e+01
4.288606742881249829e+02 8.667510601661317082e+01
4.976598394639185017e+02 8.453478690437685827e+01
5.510309337065696127e+02 7.841617067028010979e+01
7.007422063327610431e+02 1.189370645365070374e+02
2.500000000000000000e+03 2.178270092355814143e+02
2.500000000000000000e+03 2.556460378729094032e+02
