# $\sigma_\mathrm{geo}$ as a function of \dxmax for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
-1.014567840107126244e+02 1.890517828713458570e+01
-1.014567840107126244e+02 -8.030795699740107096e+00
3.417544685100191373e+02 8.271363844491773420e+01
4.663865630247574359e+02 8.924919343364062740e+01
5.058094789926525436e+02 9.338977304855197303e+01
5.762746967358837082e+02 8.389591560545024151e+01
7.097835869794187147e+02 1.306810457356436643e+02
2.500000000000000000e+03 2.434452636815391315e+02
2.500000000000000000e+03 3.204307362078814094e+02
