# $R_\mathrm{geo}$ as a function of \dxmax for an observation altitude of \SI{0}{m asl}
# knots	coefficients
-9.000000000000000000e+01 -3.234424793143716670e+01
-9.000000000000000000e+01 2.526517389701636862e+00
2.797167315112899928e+02 -1.127269572416281989e+02
3.528543065250502195e+02 -1.033255092726039805e+02
3.867711828938739700e+02 -5.372926833073452713e+01
4.001492070622646224e+02 -1.850028689527750814e+01
5.088542820515770586e+02 6.390291061606649237e+01
6.862550810641628232e+02 2.028101880874308165e+02
2.520000000000000000e+03 2.843349005213964915e+02
2.520000000000000000e+03 3.473632200242527688e+02
