# $\sigma_\mathrm{ce}$ as a function of \dxmax for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
-1.014567840107126244e+02 2.393864994265678803e+01
-1.014567840107126244e+02 1.303580380499242963e+01
2.411039810471106364e+02 1.594630358962893268e+01
3.365636543880434033e+02 7.461670973502158688e+01
4.594910800030610858e+02 1.333727028640189758e+02
6.942817414030760119e+02 5.570509526412624837e+02
5.000000000000000000e+03 1.103080660650220125e+03
5.000000000000000000e+03 1.515420534508271658e+03
