# the deviation between $E_\mathrm{geo}$ and $E\'_\mathrm{geo}$ for an observation altitude of \SI{0}{m asl}
# knots	coefficients
0.000000000000000000e+00 3.488854616494380334e+00
0.000000000000000000e+00 3.464974402822022181e+00
8.080808080808081328e+00 3.435515495834783550e+00
1.212121212121212110e+01 3.405671085777436602e+00
1.616161616161616266e+01 3.387296005335485471e+00
2.020202020202020421e+01 3.372287544984622354e+00
2.424242424242424221e+01 3.360072260577467773e+00
2.828282828282828376e+01 3.350129902019983064e+00
3.232323232323232531e+01 3.342005440228182245e+00
3.636363636363636687e+01 3.335261029034642277e+00
4.040404040404040842e+01 3.329529297701647295e+00
4.444444444444444997e+01 3.324466660947776653e+00
4.848484848484848442e+01 3.319767559165536230e+00
5.252525252525252597e+01 3.315160674763380833e+00
5.656565656565656752e+01 3.310394332901059222e+00
6.060606060606060908e+01 3.305267100467988328e+00
6.464646464646465063e+01 3.299581715954928107e+00
6.868686868686869218e+01 3.293176821137546728e+00
7.272727272727273373e+01 3.285911449126476480e+00
7.676767676767677528e+01 3.277667354786832021e+00
8.080808080808081684e+01 3.268346637893249085e+00
8.484848484848485839e+01 3.257870679451377427e+00
8.888888888888889994e+01 3.246178763571030856e+00
9.292929292929294149e+01 3.233226812404248474e+00
9.696969696969696884e+01 3.218986115564942629e+00
1.010101010101010104e+02 3.203442085335174383e+00
1.050505050505050519e+02 3.186593031179845603e+00
1.090909090909090935e+02 3.168448959795266529e+00
1.131313131313131350e+02 3.149030401774822074e+00
1.171717171717171766e+02 3.128367278766997828e+00
1.212121212121212182e+02 3.106497781472821185e+00
1.252525252525252597e+02 3.083467390702361310e+00
1.292929292929293013e+02 3.059327568777126416e+00
1.333333333333333428e+02 3.034135904303016495e+00
1.373737373737373844e+02 3.007951072375292689e+00
1.414141414141414259e+02 2.980847396891756151e+00
1.454545454545454675e+02 2.952876945996804281e+00
1.494949494949495090e+02 2.924119000907095423e+00
1.535353535353535506e+02 2.894641568412797739e+00
1.575757575757575921e+02 2.864516670975219448e+00
1.616161616161616337e+02 2.833815518728648009e+00
1.656565656565656752e+02 2.802609143828684424e+00
1.696969696969697168e+02 2.770967640904836049e+00
1.737373737373737583e+02 2.738959848280019926e+00
1.777777777777777999e+02 2.706652975501719460e+00
1.818181818181818414e+02 2.674112306492455460e+00
1.858585858585858830e+02 2.641400940244560847e+00
1.898989898989899245e+02 2.608579575658118266e+00
1.939393939393939377e+02 2.575706335028409733e+00
1.979797979797979792e+02 2.542836623903023341e+00
2.020202020202020208e+02 2.510023024048587015e+00
2.060606060606060623e+02 2.477315216989284696e+00
2.101010101010101039e+02 2.444759933891717196e+00
2.141414141414141454e+02 2.412400933992377094e+00
2.181818181818181870e+02 2.380278990304978581e+00
2.222222222222222285e+02 2.348431949418396503e+00
2.262626262626262701e+02 2.316894604113932665e+00
2.303030303030303116e+02 2.285699342610231444e+00
2.343434343434343532e+02 2.254873966885561298e+00
2.383838383838383947e+02 2.224447177681643684e+00
2.424242424242424363e+02 2.194441299873647555e+00
2.464646464646464779e+02 2.164877932150386819e+00
2.505050505050505194e+02 2.135775692983330476e+00
2.545454545454545610e+02 2.107150944001066506e+00
2.585858585858586025e+02 2.079017735026053249e+00
2.626262626262626441e+02 2.051387903986617189e+00
2.666666666666666856e+02 2.024271348165442852e+00
2.707070707070707272e+02 1.997675462072111330e+00
2.747474747474747687e+02 1.971607739413240079e+00
2.787878787878788103e+02 1.946066549753592723e+00
2.828282828282828518e+02 1.921076046447033558e+00
2.868686868686868934e+02 1.896446123862277400e+00
2.909090909090909349e+02 1.871962654337963716e+00
2.949494949494949765e+02 1.847458164618071219e+00
2.989898989898990180e+02 1.822790278885433546e+00
3.030303030303030596e+02 1.797844729534596286e+00
3.070707070707071011e+02 1.772532279469234862e+00
