# the deviation between $E_\mathrm{ce}$ and $E\'_\mathrm{ce}$ for an observation altitude of \SI{0}{m asl}
# knots	coefficients
0.000000000000000000e+00 1.123083774880566876e+00
0.000000000000000000e+00 1.122624230908038978e+00
8.080808080808081328e+00 1.121896033128116699e+00
1.212121212121212110e+01 1.120854623431134733e+00
1.616161616161616266e+01 1.120040130911205578e+00
2.020202020202020421e+01 1.119194130228744699e+00
2.424242424242424221e+01 1.118318561175053905e+00
2.828282828282828376e+01 1.117415425678445207e+00
3.232323232323232531e+01 1.116486776341312659e+00
3.636363636363636687e+01 1.115534720174844452e+00
4.040404040404040842e+01 1.114561416892030810e+00
4.444444444444444997e+01 1.113569077023643938e+00
4.848484848484848442e+01 1.112559958175055153e+00
5.252525252525252597e+01 1.111536359608398694e+00
5.656565656565656752e+01 1.110500614854001977e+00
6.060606060606060908e+01 1.109455082219939603e+00
6.464646464646465063e+01 1.108402133081049401e+00
6.868686868686869218e+01 1.107344137903623960e+00
7.272727272727273373e+01 1.106283450043235250e+00
7.676767676767677528e+01 1.105222387454662281e+00
8.080808080808081684e+01 1.104163212567792707e+00
8.484848484848485839e+01 1.103108110707850198e+00
8.888888888888889994e+01 1.102059167564624298e+00
9.292929292929294149e+01 1.101018346334651898e+00
9.696969696969696884e+01 1.099987465261457187e+00
1.010101010101010104e+02 1.098968176370970884e+00
1.050505050505050519e+02 1.097961946231286179e+00
1.090909090909090935e+02 1.096970039549692189e+00
1.131313131313131350e+02 1.095993506350210200e+00
1.171717171717171766e+02 1.095033173351870337e+00
1.212121212121212182e+02 1.094089639996411067e+00
1.252525252525252597e+02 1.093163279365139351e+00
1.292929292929293013e+02 1.092254243992987428e+00
1.333333333333333428e+02 1.091362476351962707e+00
1.373737373737373844e+02 1.090487723554904642e+00
1.414141414141414259e+02 1.089629555641504766e+00
1.454545454545454675e+02 1.088787386666121737e+00
1.494949494949495090e+02 1.087960497719694608e+00
1.535353535353535506e+02 1.087148060989719944e+00
1.575757575757575921e+02 1.086349163989582367e+00
1.616161616161616337e+02 1.085562833164442464e+00
1.656565656565656752e+02 1.084788056194137207e+00
1.696969696969697168e+02 1.084023802450316820e+00
1.737373737373737583e+02 1.083269041216189832e+00
1.777777777777777999e+02 1.082522757415642634e+00
1.818181818181818414e+02 1.081783964770530071e+00
1.858585858585858830e+02 1.081051716294625598e+00
1.898989898989899245e+02 1.080325112614632266e+00
1.939393939393939377e+02 1.079603306875275948e+00
1.979797979797979792e+02 1.078885511781601858e+00
